id,text,word_count,char_count,sentiment,sentiment_positive,sentiment_negative,complexity_level,lexical_diversity,avg_sentence_length,intents,entities,top_keywords,tokens,lemmas
8661865,а девушка я пришла в магазин в пятерочка где то в автомате там ввела ваш код не мне не пишут что нету такого кода,24,113,NEUTRAL,0.0,0,HIGH,0.875,24.0,QUESTION,,код:2 | девушк:1 | пришл:1 | магазин:1 | пятерочк:1,а девушка я пришла в магазин в пятерочка где то в автомате там ввела ваш код не мне не пишут что нету такого кода,а девушк я пришл в магазин в пятерочк где то в автомат там ввел ваш код не мне не пишут что нет так код
588302,возврат денег за за отмененный заказ,6,36,NEUTRAL,0.0,0,LOW,0.8333333333333334,6.0,UNKNOWN,,возврат:1 | денег:1 | отмененны:1 | заказ:1,возврат денег за за отмененныи заказ,возврат денег за за отмененны заказ
10593911,алло алло я слушаю плохо слышно повторите погромче,8,50,NEGATIVE,0.0,1,LOW,0.875,8.0,COMPLAINT,,алл:2 | слуша:1 | плох:1 | слышн:1 | повторит:1,алло алло я слушаю плохо слышно повторите погромче,алл алл я слуша плох слышн повторит погромч
3504880,мне нужно код выдачи чтобы оплатить,6,35,NEUTRAL,0.0,0,LOW,1.0,6.0,QUESTION | REQUEST,,нужный:1 | код:1 | выдач:1 | оплатить:1,мне нужно код выдачи чтобы оплатить,мне нужный код выдач чтоб оплатить
5974867,получить код вырези,3,19,NEUTRAL,0.0,0,LOW,1.0,3.0,UNKNOWN,,получить:1 | код:1 | вырез:1,получить код вырези,получить код вырез
3556551,здравствуйте я из города твери проспект чайковского дом тридцать семь не могу получить заказ ввожу номер сканирую штрих код ничего не получается пишет заказ не найден,29,166,NEUTRAL,0.0,0,HIGH,0.896551724137931,29.0,GREETING,ADDRESS:проспект чайковского дом тридцать семь не могу получить заказ ввожу номер сканирую штрих код ничего не получается пишет заказ не найден,заказ:2 | здравству:1 | город:1 | твер:1 | проспект:1,здравствуи те я из города твери проспект чаи ковского дом тридцать семь не могу получить заказ ввожу номер сканирую штрих код ничего не получается пишет заказ не наи ден,здравству те я из город твер проспект чаи ковск дом тридцать семь не мог получить заказ ввож номер сканир штрих код ничег не получаетс пишет заказ не наи ден
7676528,отправить возврат через постамат,4,32,NEUTRAL,0.0,0,LOW,1.0,4.0,UNKNOWN,,отправить:1 | возврат:1 | постамат:1,отправить возврат через постамат,отправить возврат через постамат
13532525,девчонки у меня нет номера заказа я не могу прийти потому что смску это стер ребенок в телефоне я могу получить так,23,115,NEUTRAL,0.0,0,HIGH,0.9130434782608695,23.0,QUESTION,,мог:2 | девчонк:1 | номер:1 | заказ:1 | при:1,девчонки у меня нет номера заказа я не могу прии ти потому что смску это стер ребенок в телефоне я могу получить так,девчонк у мен нет номер заказ я не мог при ти пот что смск это стер ребенок в телефон я мог получить так
16030720,кошмар мне не нужен самоответчик,5,32,NEGATIVE,0.0,1,LOW,1.0,5.0,COMPLAINT,,кошмар:1 | нужен:1 | самоответчик:1,кошмар мне не нужен самоответчик,кошмар мне не нужен самоответчик
112262,вопрос по поводу некорректности адреса в вашем приложении,8,57,NEUTRAL,0.0,0,LOW,1.0,8.0,UNKNOWN,,вопрос:1 | повод:1 | некорректност:1 | адрес:1 | ваш:1,вопрос по поводу некорректности адреса в вашем приложении,вопрос по повод некорректност адрес в ваш приложени
